rel_entidade;tipo;natureza;identificacao;descricao;data_aquisicao;rel_orgao;situacao;valor_atual;tipo_aquisicao
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10255; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10256; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10257; CADEIRA DIRET. FIX TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10258; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10259; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10260; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10261; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10262; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10263; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10264; CADEIRA DIRET. FIXO TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
