data;numero_empenho;rel_orgao;detalhamento_do_elemento;descricao;valor_empenhado;valor_liquido;valor_pago
 31/01/2025;454; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 13.660,08;R$ 13.660,08;R$ 13.660,08
 31/01/2025;462; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 790,64;R$ 790,64;R$ 790,64
 31/01/2025;450; SECRETARIA DE CULTURA; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 6.671,00;R$ 6.671,00;R$ 6.671,00
 31/01/2025;459; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 22.317,69;R$ 22.317,69;R$ 22.317,69
 31/01/2025;455; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 308,54;R$ 308,54;R$ 308,54
 31/01/2025;465; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 5.188,56;R$ 5.188,56;R$ 5.188,56
 31/01/2025;464; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 5.005,27;R$ 5.005,27;R$ 5.005,27
 31/01/2025;460; SECRETARIA DE TURISMO  E ESPORTE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 23.575,14;R$ 23.575,14;R$ 23.575,14
 31/01/2025;479; SECRETARIA DE CULTURA; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 833,87;R$ 833,87;R$ 833,87
 31/01/2025;507; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 389,97;R$ 389,97;R$ 389,97
 31/01/2025;469; GABINETE DO PREFEITO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 11.703,17;R$ 11.703,17;R$ 11.703,17
 31/01/2025;481; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 1.684,65;R$ 1.684,65;R$ 1.684,65
 31/01/2025;474; SECRETARIA DA AGRICULTURA, PESCA  E DESENV. RURAL; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 6.783,73;R$ 6.783,73;R$ 6.783,73
 31/01/2025;473; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 2.604,40;R$ 2.604,40;R$ 2.604,40
 31/01/2025;477; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 21.057,05;R$ 21.057,05;R$ 21.057,05
 31/01/2025;470; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 8.814,66;R$ 8.814,66;R$ 8.814,66
 31/01/2025;483; SECRETARIA DE TURISMO  E ESPORTE; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 2.946,88;R$ 2.946,88;R$ 2.946,88
 31/01/2025;485; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 833,87;R$ 833,87;R$ 833,87
 31/01/2025;506; GABINETE DO PREFEITO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 277,94;R$ 277,94;R$ 277,94
 31/01/2025;505; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 123,53;R$ 123,53;R$ 123,53
 31/01/2025;472; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 26.350,25;R$ 26.350,25;R$ 26.350,25
 31/01/2025;482; SECRETARIA DE INDÚSTRIA E COMÉRCIO E SEG. PÚBLICA; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 1.204,47;R$ 1.204,47;R$ 1.204,47
